ACCOUNT: 
TechSpec Version: 2.0 
Customisation Date: 2026-07-22 
Scan Version: 2.0
FQDN:afs-vm-eastus-elastic-az1-ml-p01.jphjhwchgmwurgklsgogdo0e3h.bx.internal.cloudapp.net 
IP-ADDRESS:192.168.0.7/26 
OS-NAME: RedHatLinux9.8 
Scan-Date: 2026-07-22
Time-Stamp: 08:53:06
********************************************************
SECTION-ID|SECTION-HEADING|SYSTEM-VALUE/PARAMETER|CURRENT-VALUE|TEST-RESULT
IZ1.C.5.1.3.4|Access Authentication and Authorization / Configure privilege escalation|Ensure re-authentication for privilege escalation is not disabled globally.|The '!authenticate' directive is not found in /etc/sudoers.d/90-cloud-init-users|Yes
IZ1.C.5.1.3.4|Access Authentication and Authorization / Configure privilege escalation|Ensure re-authentication for privilege escalation is not disabled globally.|The '!authenticate' directive is not found in /etc/sudoers.d/waagent|Yes
IZ1.C.5.1.3.5|Access Authentication and Authorization / Configure privilege escalation.|Ensure sudo authentication timeout is configured correctly.|The sudo caching timeout is not more than 15 minutes. |Yes
IZ1.C.5.1.3.6|Access Authentication and Authorization / Configure privilege escalation|Ensure access to the su command is restricted.|su command is restricted according to the configuration in /etc/pam.d/su|Yes
IZ1.C.5.1.4.1|Access Authentication and Authorization / Configure authselect.|Ensure custom authselect profile is used.|Custom Profiles found. - custom/hardening	 Enable SSSD for system authentication (also for local users only) |Yes
IZ1.C.5.1.4.1|Access Authentication and Authorization / Configure authselect.|Ensure custom authselect profile is used.|Custom profile is in use. custom/hardening|Yes
IZ1.C.5.1.4.2|Access Authentication and Authorization / Configure authselect|Ensure authselect includes with-faillock.|pam_faillock.so is enabled in /etc/pam.d/password-auth auth        required                                     pam_faillock.so preauth silent|Yes
IZ1.C.5.1.4.2|Access Authentication and Authorization / Configure authselect|Ensure authselect includes with-faillock.|auth        required                                     pam_faillock.so authfail|Yes
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|account     required                                     pam_faillock.so|Yes
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|pam_faillock.so is enabled in /etc/pam.d/system-auth auth        required                                     pam_faillock.so preauth silent|Yes
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|auth        required                                     pam_faillock.so authfail|No
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|account     required                                     pam_faillock.so|No
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|Password creation requirements are /etc/pam.d/system-auth:password    requisite                                    pam_pwquality.so local_users_only is valid.|No
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|Password creation requirements are /etc/pam.d/password-auth:password    requisite                                    pam_pwquality.so local_users_only is valid.|Yes
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|Password creation requirements dcredit = 0 is not valid. Expected dcredit = -1|No
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|Password creation requirements lcredit = 0 is not valid. Expected lcredit = -1|Yes
IZ1.C.5.1.5.1|Access Authentication and Authorization / Configure PAM|Ensure password creation requirements are configured.|Password creation requirements minclass = 4 is not valid. Expected minclass = 3|No
IZ1.C.5.1.5.2|Access Authentication and Authorization / Configure PAM|Ensure lockout for failed password attempts is configured.|Password creation requirements are minlen = 14 is valid.|Yes
IZ1.C.5.1.5.2|Access Authentication and Authorization / Configure PAM|Ensure lockout for failed password attempts is configured.|Password creation requirements ocredit = 0 is not valid. Expected ocredit = -1|Yes
IZ1.C.5.1.5.3|Access Authentication and Authorization / Configure PAM|Ensure lockout for failed password attempts is configured.|Password creation requirements are retry = 3 is valid.|No
IZ1.C.5.1.5.4|Access Authentication and Authorization / Configure PAM|Ensure password hashing algorithm is SHA-512 or yescrypt.|Password creation requirements ucredit = 0 is not valid. Expected ucredit = -1|Yes
IZ1.C.5.1.5.4|Access Authentication and Authorization / Configure PAM|Ensure password hashing algorithm is SHA-512 or yescrypt.|Number of failed logon attempts is configured correctly.|Yes
IZ1.C.5.1.5.4|Access Authentication and Authorization / Configure PAM|Ensure password hashing algorithm is SHA-512 or yescrypt.|Unlock time is configured correctly.|Yes
IZ1.C.5.1.5.4|Access Authentication and Authorization / Configure PAM|Ensure password hashing algorithm is SHA-512 or yescrypt.|Output is NOT valid.|Yes
IZ1.C.5.1.6.1|Access Authentication and Authorization / User Accounts and Environment|Ensure system accounts are secured.|Password hashing algorithm is either SHA-512 or yescrypt|Yes
IZ1.C.5.1.6.1|Access Authentication and Authorization / User Accounts and Environment|Ensure system accounts are secured.|Password hashing algorithm is either SHA-512 or yescrypt|Yes
IZ1.C.5.1.6.2|Access Authentication and Authorization / User Accounts and Environment|Ensure default user shell timeout is 900 seconds or less.|/etc/pam.d/system-auth: Password hashing algorithm is either sha512.|No
IZ1.C.5.1.6.3|Access Authentication and Authorization / User Accounts and Environment|Ensure default group for the root account is GID 0.|/etc/pam.d/password-auth: Password hashing algorithm is either sha512.|Yes
IZ1.C.5.1.6.4|Access Authentication and Authorization / User Accounts and Environment|Ensure default user umask is 027 or more restrictive.|No critical system accounts with 'nologin' found.|Yes
IZ1.C.5.1.6.4|Access Authentication and Authorization / User Accounts and Environment.|Ensure default user umask is 027 or more restrictive.|No disabled accounts with 'nologin' shell found.|No
IZ1.C.5.1.6.5|Access Authentication and Authorization / User Accounts and Environment.|Ensure root password is set.|Default user shell timeout is not 900 seconds or less.|No
IZ1.C.5.1.7.1|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|The root user's primary group ID is 0. |Yes
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|Default user umask is set |No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|Less restrictive system wide umask is set|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|Root password status is unknown .|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|Password expiration is 365 days or less|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User root has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User bin has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User daemon has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User adm has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User lp has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User sync has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User shutdown has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User halt has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User mail has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User operator has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User games has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User ftp has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User nobody has invalid password expiration 99999 in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User tss has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User systemd-coredump has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User dbus has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User polkitd has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User sshd has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User clevis has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User sssd has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User libstoragemgmt has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User setroubleshoot has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User cockpit-ws has invalid password expiration  in /etc/shadow file|Yes
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User chrony has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User systemd-resolve has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User tcpdump has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User azureuser password expiration is 365 in /etc/shadow file|Yes
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User mdatp has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.1|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration is 365 days or less|User elasticsearch has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User syslog has invalid password expiration  in /etc/shadow file|Yes
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User elasticuser password expiration is 365 in /etc/shadow file|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User azureotelcollector has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User azuremetricsext has invalid password expiration  in /etc/shadow file|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|PASS_MIN_DAYS is valid in /etc/login.defs file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User root: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User bin: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User daemon: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User adm: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User lp: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User sync: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User shutdown: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User halt: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User mail: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User operator: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User games: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User ftp: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User nobody: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User tss: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User systemd-coredump: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User dbus: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User polkitd: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User sshd: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User clevis: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User sssd: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User libstoragemgmt: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User setroubleshoot: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User cockpit-ws: PASS_MIN_DAYS is invalid in /etc/shadow file.|Yes
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User chrony: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User systemd-resolve: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User tcpdump: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User azureuser: PASS_MIN_DAYS is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User mdatp: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.2|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure minimum days between password changes is configured.|User elasticsearch: PASS_MIN_DAYS is invalid in /etc/shadow file.|No
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|User syslog: PASS_MIN_DAYS is invalid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|User elasticuser: PASS_MIN_DAYS is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|User azureotelcollector: PASS_MIN_DAYS is invalid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|User azuremetricsext: PASS_MIN_DAYS is invalid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|PASS_WARN_AGE is valid in /etc/login.defs file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|root :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|bin :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|daemon :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|adm :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|lp :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|sync :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|shutdown :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|halt :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|mail :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|operator :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|games :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|ftp :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|nobody :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|tss :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|systemd-coredump :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|dbus :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|polkitd :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|sshd :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|clevis :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|sssd :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|libstoragemgmt :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|setroubleshoot :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|cockpit-ws :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|chrony :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|systemd-resolve :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|tcpdump :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|azureuser :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|mdatp :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.3|Access Authentication and Authorization / User Accounts and Environment / Set Shadow Password Suite Parameters.|Ensure password expiration warning days is 7 or more.|elasticsearch :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|syslog :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|elasticuser :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|azureotelcollector :PASS_WARN_AGE 7: is valid in /etc/shadow file.|Yes
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|azuremetricsext :PASS_WARN_AGE 7: is valid in /etc/shadow file.|No
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|Default Inactive password lock is set to 30 days.|No
IZ1.C.5.1.7.4|Access Authentication and Authorization/User Accounts and Environment/Set Shadow Password Suite Parameters.|Ensure inactive password lock is 30 days or less.|inactive password lock for complaint_users(azureuser: 30)|No
