ACCOUNT: 
TechSpec Version: 2.0 
Customisation Date: 2026-07-22 
Scan Version: 2.0
FQDN:afs-vm-eastus-elastic-az1-ml-p01.jphjhwchgmwurgklsgogdo0e3h.bx.internal.cloudapp.net 
IP-ADDRESS:192.168.0.7/26 
OS-NAME: RedHatLinux9.8 
Scan-Date: 2026-07-22
Time-Stamp: 08:53:06
********************************************************
SECTION-ID|SECTION-HEADING|SYSTEM-VALUE/PARAMETER|CURRENT-VALUE|TEST-RESULT
IZ1.C.1.4.2|Initial Setup/Secure Boot Settings.|Ensure permissions on bootloader config are configured.|Permissions for /boot/grub2/grubenv are correct.|Yes
IZ1.C.1.4.2|Initial Setup/Secure Boot Settings.|Ensure permissions on bootloader config are configured.|/boot/grub2/user.cfg does not exist|No
IZ1.C.1.5.1|Initial Setup/Additional Process Hardening.|Ensure core dump storage is disabled.|Core dump storage is disabled.|Yes
IZ1.C.1.5.2|Initial Setup/Additional Process Hardening.|Ensure core dump backtraces are disabled.|Core dump backtraces are disabled.|Yes
IZ1.C.1.5.3|Initial Setup/Additional Process Hardening.|Ensure address space layout randomization (ASLR) is enabled.|Address space layout randomization (ASLR) is enabled.|Yes
IZ1.C.1.6.2|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux is installed.|SELinux is installed |Yes
IZ1.C.1.6.3|Initial Setup/Mandatory Access Control/Configure SELinux|Ensure SELinux is not disabled in bootloader configuration.|SELinux is not disabled in bootloader configuration|Yes
IZ1.C.1.6.4|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux policy is configured.|Verified using command SELinux policy is enabled. |Yes
IZ1.C.1.6.4|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux policy is configured.|Verified using config file SELinux policy is enabled|Yes
IZ1.C.1.6.5|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the SELinux mode is not disabled.|Verified using command SELinux policy is enabled. |Yes
IZ1.C.1.6.5|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the SELinux mode is not disabled.|Verified using config file SELinux policy is enabled. |Yes
IZ1.C.1.6.7|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SETroubleshoot is not installed.|SETroubleshoot is not installed|Yes
IZ1.C.1.6.8|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the MCS Translation Service (mcstrans) is not installed.|MCS Translation Service is not installed.|Yes
IZ1.C.1.7.1|Initial Setup/Command Line Warning Banners.|Ensure message of the day is configured properly|The message is configured correctly in /etc/motd|Yes
IZ1.C.1.7.2|Initial Setup/Command Line Warning Banners.|Ensure local login warning banner is configured properly.|The message is configured correctly in /etc/issue|Yes
IZ1.C.1.7.3|Initial Setup/Command Line Warning Banners.|Ensure remote login warning banner is configured properly.|The message is configured correctly in /etc/issue.net|Yes
IZ1.C.1.7.4|Initial Setup/Command Line Warning Banners.|Ensure permissions on /etc/motd are configured.|Permissions on /etc/motd are configured correctly.|Yes
IZ1.C.1.7.5|Initial Setup/Command Line Warning Banners.|Ensure permissions on /etc/issue are configured.|Permissions on /etc/issue are configured correctly.|Yes
IZ1.C.1.7.6|Initial Setup/Command Line Warning Banners.|Ensure permissions on /etc/issue.net are configured.|Permissions on /etc/issue.net are configured correctly.|Yes
IZ1.C.1.8.1|Initial Setup / GNOME Display Manager|Ensure GDM login banner is configured|GDM login banner is configured|Yes
IZ1.C.1.8.2|Initial Setup / GNOME Display Manager|Ensure GDM disable-user-list option is enabled|GDM disable-user-list option is enabled|Yes
IZ1.C.1.8.3|Initial Setup / GNOME Display Manager|Ensure GDM screen locks when the user is idle|GDM screen locks when the user is idle|Yes
IZ1.C.1.8.4|Initial Setup / GNOME Display Manager|Ensure GDM screen locks cannot be overridden|GDM screen locks cannot be overridden|Yes
IZ1.C.1.8.5|Initial Setup / GNOME Display Manager|Ensure GDM automatic mounting of removable media is disabled|GDM automatic mounting of removable media is disabled|Yes
IZ1.C.1.8.6|Initial Setup / GNOME Display Manager|Ensure GDM disabling automatic mounting of removable media is not overridden|GDM disabling automatic mounting of removable media is not overridden|Yes
IZ1.C.1.8.7|Initial Setup / GNOME Display Manager|Ensure GDM autorun-never is enabled|GDM autorun-never is enabled|Yes
IZ1.C.1.8.8|Initial Setup / GNOME Display Manager|Ensure GDM autorun-never is not overridden|GDM autorun-never is not overridden|Yes
IZ1.C.1.8.9|Initial Setup / GNOME Display Manager|Ensure XDCMP is not enabled|XDCMP is not enabled|Yes
IZ1.C.2.1.1.1|Services / Time Synchronization|Ensure time synchronization is in use|Chronyd must be running|Yes
IZ1.C.2.1.1.2|Services / Time Synchronization|Ensure chrony is configured|At least one pool or server is not specified|No
IZ1.C.2.1.2.1|Services / Special Purpose Services|Ensure Avahi Server is not installed|Avahi Server is not installed|Yes
IZ1.C.2.1.2.2|Services / Special Purpose Services|Ensure CUPS is not installed|CUPS is not installed|Yes
IZ1.C.2.1.2.3|Services / Special Purpose Services|Ensure DHCP Server is not installed|Ensure DHCP Server is not installed|Yes
IZ1.C.2.1.2.4|Services / Special Purpose Services|Ensure DNS Server is not installed|DNS Server is not installed|Yes
IZ1.C.2.1.2.5|Services / Special Purpose Services|Ensure VSFTP Server is not installed|VSFTP Server is not installed|Yes
IZ1.C.2.1.2.6|Services / Special Purpose Services|Ensure TFTP Server is not installed|TFTP Server is not installed|Yes
IZ1.C.2.1.2.7|Services / Special Purpose Services|Ensure a web server is not installed|Web server is not installed|Yes
IZ1.C.2.1.2.8|Services / Special Purpose Services|Ensure IMAP and POP3 server is not installed|IMAP and POP3 server is not installed|Yes
IZ1.C.2.1.2.9|Services / Special Purpose Services|Ensure Samba is not installed|Samba is not installed|Yes
IZ1.C.2.1.2.10|Services / Special Purpose Services|Ensure HTTP Proxy Server is not installed|Several HTTP proxy servers exist & other services should be checked|Yes
IZ1.C.2.1.2.11|Services / Special Purpose Services|Ensure net-snmp is not installed|Net-snmp is not installed|Yes
IZ1.C.2.1.2.12|Services / Special Purpose Services|Ensure telnet-server is not installed|Telnet-server is not installed|Yes
IZ1.C.2.1.2.13|Services / Special Purpose Services|Ensure dnsmasq is not installed|dnsmasq is not installed|Yes
IZ1.C.2.1.2.14|Services / Special Purpose Services|Ensure mail transfer agent is configured for local-only mode|mail servers MTA is configured to process only local mail|Yes
IZ1.C.2.1.2.15|Services / Special Purpose Services|Ensure nfs-utils is not installed or the  nfs-server service is masked|Nfs-utils is installed or the nfs-server service is masked|No
IZ1.C.2.1.2.16|Services / Special Purpose Services|Ensure rpcbind is not installed or the  rpcbind services are masked|Rpcbind is installed or the rpcbind services are masked|No
IZ1.C.2.1.2.17|Services / Special Purpose Services|Ensure rsync-daemon is not installed or the rsyncd service is masked|rsync-daemon is not disabled or rsyncd service is not masked|No
IZ1.C.2.1.3.1|Services / Service Clients|Ensure telnet client is not installed|Telnet client is not installed|Yes
IZ1.C.2.1.4.1|Services / Service Clients|Ensure TFTP client is not installed|TFTP package is installed|No
IZ1.C.2.1.4.2|Services / Service Clients|Ensure FTP client is not installed|FTP package is installed|No
IZ1.C.3.1.1.1|Network Configuration / Disable unused network protocols and devices|Ensure wireless interfaces are disabled|Wireless interfaces are disabled|Yes
IZ1.C.3.1.2.1|Network Configuration / Network Parameters (Host Only)|Ensure IP forwarding is disabled|Net.ipv4.ip_forward = 0|Yes
IZ1.C.3.1.2.2|Network Configuration / Network Parameters (Host and Router)|Ensure packet redirect sending is disabled|net.ipv4.conf.all.send_redirects is disabled|Yes
IZ1.C.3.1.2.2|Network Configuration / Network Parameters (Host and Router)|Ensure packet redirect sending is disabled|net.ipv4.conf.default.send_redirects  is disabled|Yes
IZ1.C.3.1.3.1|Network Configuration / Network Parameters (Host and Router)|Ensure source routed packets are not accepted.|Current value for: net.ipv4.conf.all.accept_source_route = 0|Yes
IZ1.C.3.1.3.1|Network Configuration / Network Parameters (Host and Router)|Ensure source routed packets are not accepted.|Current value for: net.ipv4.conf.default.accept_source_route = 0|Yes
IZ1.C.3.1.3.2|Network Configuration / Network Parameters (Host and Router)|Ensure ICMP redirects are not accepted|Current value for: net.ipv4.conf.all.accept_redirects = 0|Yes
IZ1.C.3.1.3.2|Network Configuration / Network Parameters (Host and Router)|Ensure ICMP redirects are not accepted|Current value for: net.ipv4.conf.default.accept_redirects = 0|Yes
IZ1.C.3.1.3.3|Network Configuration / Network Parameters (Host and Router)|Ensure secure ICMP redirects are not accepted.|Current value for: net.ipv4.conf.all.secure_redirects = 0|Yes
IZ1.C.3.1.3.3|Network Configuration / Network Parameters (Host and Router)|Ensure secure ICMP redirects are not accepted.|Current value for: net.ipv4.conf.all.secure_redirects = 0|Yes
IZ1.C.3.1.3.4|Network Configuration / Network Parameters (Host and Router)|Ensure suspicious packets are logged.|Current value for: net.ipv4.conf.all.log_martians = 1|Yes
IZ1.C.3.1.3.4|Network Configuration / Network Parameters (Host and Router)|Ensure suspicious packets are logged.|Current value for: net.ipv4.conf.default.log_martians = 1|Yes
IZ1.C.3.1.3.5|Network Configuration / Network Parameters (Host and Router)|Ensure broadcast ICMP requests are ignored.|Current value for: net.ipv4.icmp_echo_ignore_broadcasts = 1|Yes
