"Package Name","Target Version","CVE IDs Fixed"
"openssh","9.9p1-7.el9_8","CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55654, CVE-2026-55655, CVE-2026-59996, CVE-2026-60002"
"openssh-clients","9.9p1-7.el9_8","CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55654, CVE-2026-55655, CVE-2026-59996, CVE-2026-60002"
"openssh-server","9.9p1-7.el9_8","CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55654, CVE-2026-55655, CVE-2026-59996, CVE-2026-60002"
"openssl","3.5.5-5.el9_8","CVE-2025-9230, CVE-2026-28390, CVE-2026-31790, CVE-2026-34180, CVE-2026-34181, CVE-2026-34182, CVE-2026-34183, CVE-2026-42764, CVE-2026-42766, CVE-2026-42767, CVE-2026-42768, CVE-2026-42769, CVE-2026-42770, CVE-2026-45445, CVE-2026-45446, CVE-2026-45447, CVE-2026-7383, CVE-2026-9076"
"openssl-libs","3.5.5-5.el9_8","CVE-2025-9230, CVE-2026-28390, CVE-2026-31790, CVE-2026-34180, CVE-2026-34181, CVE-2026-34182, CVE-2026-34183, CVE-2026-42764, CVE-2026-42766, CVE-2026-42767, CVE-2026-42768, CVE-2026-42769, CVE-2026-42770, CVE-2026-45445, CVE-2026-45446, CVE-2026-45447, CVE-2026-7383, CVE-2026-9076"
"p11-kit","0.26.2-1.el9","None"
"p11-kit-trust","0.26.2-1.el9","None"
"python-unversioned-command","3.9.25-7.el9_8.2","CVE-2025-12084, CVE-2025-15366, CVE-2025-15367, CVE-2026-0865, CVE-2026-11940, CVE-2026-1299, CVE-2026-15308, CVE-2026-4519, CVE-2026-4786, CVE-2026-6100"
"python3","3.9.25-7.el9_8.2","CVE-2025-12084, CVE-2025-15366, CVE-2025-15367, CVE-2026-0865, CVE-2026-11940, CVE-2026-1299, CVE-2026-15308, CVE-2026-4519, CVE-2026-4786, CVE-2026-6100"
"python3-firewall","1.3.4-18.el9_7","None"
"python3-idna","2.10-7.el9_4.1","CVE-2026-45409"
