Customer Name ,Customer Inventory ID ,Security Policy ,Technical Specification ,Server Name ,Server IP ,Operating System ,Section ID ,Section Heading ,System Value Parameter ,Description ,Agreed Value ,Current Value ,Output Result ,Severity ,Scandate ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.8 ,Configure Special Purpose Services ,Ensure message access server services are not in use ,dovecot and cyrus-imapd are open source IMAP and POP3 server packages and should not be used unless required ,dovecot and cyrus-imapd packages must not be installed ,dovecot and cyrus-imapd packages are not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.19 ,Configure Special Purpose Services ,Ensure web server services are not in use ,Web servers provide the ability to host web content and should not run unless required ,Web server packages must not be installed ,httpd package is not installed Output : package httpd is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.19 ,Configure Special Purpose Services ,Ensure web server services are not in use ,Web servers provide the ability to host web content and should not run unless required ,Web server packages must not be installed ,nginx package is not installed Output : package nginx is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.14 ,Configure Special Purpose Services ,Ensure samba file server services are not in use ,Samba allows Linux systems to share files with Windows systems using SMB protocol ,samba package must not be installed ,samba package is not installed Output : package samba is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.10 ,Configure Special Purpose Services ,Ensure nis server services are not in use ,NIS (Network Information Service) distributes system configuration data across network systems ,ypserv package must not be installed ,ypserv package is not installed Output : package ypserv is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.17 ,Configure Special Purpose Services ,Ensure tftp server services are not in use ,TFTP allows simple file transfers over UDP and should not run unless required ,tftp-server package must not be installed ,tftp-server package is not installed Output : package tftp-server is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.15 ,Configure Special Purpose Services ,Ensure snmp services are not in use ,SNMP is used for monitoring network and system devices and should not run unless required ,net-snmp package must not be installed ,net-snmp package is not installed Output : package net-snmp is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.6 ,Configure Special Purpose Services ,Ensure dnsmasq services are not in use ,Dnsmasq provides DNS caching forwarding and DHCP services and should not run unless required ,dnsmasq package must not be installed ,dnsmasq installed but dnsmasq.service is not enabled and not active Output : package=dnsmasq-2.79-33.el8_10.x86_64 dnsmasq_enabled=disabled dnsmasq_active=inactive ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,5.4.1.6 ,Configure shadow password suite parameters ,Ensure all users last password change date is in the past ,All users should have a password change date in the past ,Field 3 of /etc/shadow (last password change date) are not dates in the future ,All users last password change date is in the past ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.23 ,Configure Special Purpose Services ,Ensure mail transfer agents are configured for local-only mode ,Mail Transfer Agents should listen only on localhost to reduce network attack surface ,MTA must listen only on localhost (127.0.0.1) ,No Mail Transfer Agent detected ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,1.1.1.10 ,Ensure usb-storage kernel module is not available ,Ensure usb-storage kernel module is not available ,usb-storage module should be disabled to prevent unauthorized data exfiltration via removable media ,usb-storage module should be blacklisted and install rule set to /bin/true ,usb-storage module is available and can be loaded ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.2.3 ,Configure Service Clients ,Ensure NIS Client is not installed ,The NIS is a client-server directory service protocol used to distribute system configuration files ,NIS Client is not installed ,NIS client is not installed Output : package ypbind is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.2.5 ,Configure Service Clients ,Ensure TFTP client is not installed ,TFTP is a simple protocol for exchanging files between two TCP/IP machines ,TFTP package is not installed ,TFTP package is not installed Output : package tftp is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.2.4 ,Configure Service Clients ,Ensure telnet client is not installed ,The telnet package contains the telnet client which allows users to start connections to other systems via the telnet protocol ,Telnet client is not installed ,Telnet client is not installed Output : package telnet is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
